name;email;grade
Arthur Glenn Larson;argla003@schooldistrict.com;2imitst
Sam James Rowan Daniels;sajro010@schooldistrict.com;2imit
Isaac Nathaniel Blakeford Brown;inbbr007@schooldistrict.com;2imit
Melissa Jane Bradshaw;mejbr012@schooldistrict.com;2imit
Julian Grant Webster;jugwe004@schooldistrict.com;2imitst
Brady Thomas Holloway;brtho009@schooldistrict.com;2imit
Matthew Neilson;manei006@schooldistrict.com;2imitst
Aaron Oscar Scott Emory;aosco011@schooldistrict.com;2imitst
Tom Parker Newman;topne008@schooldistrict.com;2imitst
Shawn Adam Whitaker;shawi012@schooldistrict.com;2imitst
Amy Jaden Anderson;amjan010@schooldistrict.com;2imitst
Martin Kyle Trent;maktr003@schooldistrict.com;2imit
Jonathan Allen Richards;joari015@schooldistrict.com;2imitst
Alice Lynn Robertson;aliro004@schooldistrict.com;2imitst
Oscar Alan Abbot;osalab005@schooldistrict.com;2imitst
Tyler Reid Samson;tyres002@schooldistrict.com;2imit
Jacob Robinson;jarob017@schooldistrict.com;2imit
David John Sorensen;dajso018@schooldistrict.com;2imitst
Eleanor Ashton;elash006@schooldistrict.com;2imit
Nathan Williams;nawi011@schooldistrict.com;2imitst
Simon Curtis Spencer;sicus007@schooldistrict.com;2imit
Spencer Gregson;spgre001@schooldistrict.com;2imit
Karen Margaret Simmons;kamsi008@schooldistrict.com;2imitst
Nicholas Bartley;nibar014@schooldistrict.com;2imit
Andrew Pearson;anpea021@schooldistrict.com;2imitst
Alden Lucas Harris;alluh003@schooldistrict.com;2imitst
Brian Keller;brkel006@schooldistrict.com;2imit
Harrison Lloyd;hallo012@schooldistrict.com;2imitst
Michael Alan Peterson;miape005@schooldistrict.com;2imit
Clark Morgan;clmor004@schooldistrict.com;2imit
Stanley Everett Bradley;stebr003@schooldistrict.com;2imitst
Archer Ames;arame001@schooldistrict.com;2imit
Elliot Charles Carter;elcca011@schooldistrict.com;2imit
Jesse Howard Vaughn;jehva008@schooldistrict.com;2imitst
Mason Underhill;maunh007@schooldistrict.com;2imit
Daniel Scott Hampton;dashh009@schooldistrict.com;2imitst
Noah Taylor;nota006@schooldistrict.com;2imit
Kyle Landon;kylan004@schooldistrict.com;2imitst
Nicholas Layton;nilat012@schooldistrict.com;2imitst
