name;email;grade
Tara Kingsley;takng013@schooldistrict.com;2immpst
Lena Morrison;lemor008@schooldistrict.com;2immp
Victoria Amber Prescott;viapr005@schooldistrict.com;2immpst
Gavin Windsor;gawnd001@schooldistrict.com;2immpst
Mateo Sebastian Lopez;maslo014@schooldistrict.com;2immpst
Ivy Neal-Patterson;ivnepa006@schooldistrict.com;2immpst
Chase Donovan Stark;chdst009@schooldistrict.com;2immpst
Olivia Hawthorne;olhaw011@schooldistrict.com;2immp
Travis Sinclair;trasin010@schooldistrict.com;2immp
Rashid Aliyev;raaliv005@schooldistrict.com;2immp
Declan Thornton;dethor004@schooldistrict.com;2immp
Keaton Bell;kebel007@schooldistrict.com;2immp
Rajesh Patel;rapat008@schooldistrict.com;2immp
Mohamed El-Amin;moela009@schooldistrict.com;2immpst
Dylan Reese;dyree003@schooldistrict.com;2immp
Brendan Huxley;brhux006@schooldistrict.com;2immp
Javier Delgado Cruz;jadecr001@schooldistrict.com;2immpst
Maxwell Riggs;maxri012@schooldistrict.com;2immpst
Corbin Drake;codra017@schooldistrict.com;2immpst
Bianca Lovelace;bilov004@schooldistrict.com;2immpst
Everett Kingsman;evkin008@schooldistrict.com;2immpst
Ashton Holloway;ashho011@schooldistrict.com;2immp
Logan Sutherland;losut006@schooldistrict.com;2immp
Naomi Delgado-Hart;nadeha002@schooldistrict.com;2immp
Caleb Porter;capor009@schooldistrict.com;2immp
Gregory Larson;grelars015@schooldistrict.com;2immp
Ollie McAllister;olmcal007@schooldistrict.com;2immp
